device_kind,model,context,batch_size,attention_share,mlp_share,online_speedup,adaptive_speedup,oracle_speedup,online_gap_closed,adaptive_gap_closed
cpu,gpt2,256,1,0.4256816256872712,0.5743183743127288,1.0,1.0,1.2674816245401324,0.0,0.0
cpu,gpt2,512,1,0.453312756538953,0.546687243461047,1.1394013271354655,1.2956462385945058,1.2956462385945058,0.5361721697444785,1.0
cpu,gpt2,768,1,0.44871417577605477,0.5512858242239452,1.1567620810533978,1.3196933825239312,1.3196933825239312,0.5594179128180408,1.0
cpu,gpt2,960,1,0.43424038963435113,0.5657596103656489,1.164318254717458,1.3345270989254765,1.3345270989254765,0.5630023396331136,1.0
cpu,gpt2,512,4,0.4449871566400741,0.5550128433599258,1.1364198289562446,1.2945497989723476,1.2945497989723476,0.5275926402656913,1.0
cpu,opt-125m,256,1,0.6528136367299348,0.3471863632700653,1.0,1.0,1.2820222908642418,0.0,0.0
cpu,opt-125m,512,1,0.6670366748571693,0.33296332514283067,1.2193438127048093,1.3233274877398342,1.3233274877398342,0.7362476391432776,1.0
cpu,opt-125m,768,1,0.6319444831847685,0.3680555168152315,1.2354735445127853,1.3547292528225479,1.3547292528225479,0.727887356195678,1.0
cpu,opt-125m,512,4,0.5397875962949391,0.46021240370506095,1.1698677768010664,1.3060748410637222,1.3060748410637222,0.6196046310814258,1.0
gpu,gpt2,256,1,0.4639284946280807,0.5360715053719193,1.0,1.0,1.269349608209804,0.0,0.0
gpu,gpt2,512,1,0.46556622690309973,0.5344337730969002,1.1431806630286658,1.2964232555991906,1.2964232555991906,0.5477773107710164,1.0
gpu,gpt2,768,1,0.4618628388412367,0.5381371611587633,1.161702609041029,1.3215814782275817,1.3215814782275817,0.5720381306007016,1.0
gpu,gpt2,960,1,0.4637199491878758,0.5362800508121243,1.1771065191617327,1.3408975250657695,1.3408975250657695,0.5918212072168908,1.0
gpu,gpt2,512,2,0.458500048428773,0.541499951571227,1.140744209856485,1.2956350693351688,1.2956350693351688,0.5407157356994869,1.0
gpu,opt-125m,256,1,0.8540266894362953,0.14597331056370466,1.0,1.0,1.2953830384185285,0.0,0.0
gpu,opt-125m,512,1,0.851649641340016,0.14835035865998397,1.2975217427852328,1.3475922080316245,1.3475922080316245,0.8889810922188249,1.0
gpu,opt-125m,512,2,0.8569093166000885,0.1430906833999115,1.3000491191457737,1.348445249676793,1.348445249676793,0.8931643172335482,1.0
