device_kind,model,context,batch_size,attention_share,mlp_share,online_speedup,adaptive_feature_speedup,adaptive_family_speedup,adaptive_score_speedup,oracle_speedup,online_gap_closed,adaptive_feature_gap_closed,adaptive_family_gap_closed,adaptive_score_gap_closed,simulation_report
cpu,gpt2,256,1,0.4256816256872712,0.5743183743127288,1.0,1.0,1.0,1.0,1.2674816245401324,0.0,0.0,0.0,0.0,artifacts/reports/gpt2_ctx256_simulation_full.json
cpu,gpt2,512,1,0.453312756538953,0.546687243461047,1.1394013271354655,1.1394013271354655,1.0,1.2956462385945058,1.2956462385945058,0.5361721697444785,0.5361721697444785,0.0,1.0,artifacts/reports/gpt2_ctx512_simulation_full.json
cpu,gpt2,768,1,0.44871417577605477,0.5512858242239452,1.1567620810533978,1.1567620810533978,1.1567620810533978,1.3196933825239312,1.3196933825239312,0.5594179128180408,0.5594179128180408,0.5594179128180408,1.0,artifacts/reports/gpt2_ctx768_simulation_full.json
cpu,gpt2,960,1,0.43424038963435113,0.5657596103656489,1.164318254717458,1.164318254717458,1.164318254717458,1.3345270989254765,1.3345270989254765,0.5630023396331136,0.5630023396331136,0.5630023396331136,1.0,artifacts/reports/gpt2_ctx960_simulation_full.json
cpu,gpt2,512,4,0.4449871566400741,0.5550128433599258,1.1364198289562446,1.1364198289562446,1.1364198289562446,1.2945497989723476,1.2945497989723476,0.5275926402656913,0.5275926402656913,0.5275926402656913,1.0,artifacts/reports/gpt2_ctx512_bs4_simulation_full.json
cpu,opt-125m,256,1,0.6528136367299348,0.3471863632700653,1.0,1.0,1.0,1.0,1.2820222908642418,0.0,0.0,0.0,0.0,artifacts/reports/opt125m_ctx256_simulation_full.json
cpu,opt-125m,512,1,0.6670366748571693,0.33296332514283067,1.2193438127048093,1.2193438127048093,1.2193438127048093,1.3233274877398342,1.3233274877398342,0.7362476391432776,0.7362476391432776,0.7362476391432776,1.0,artifacts/reports/opt125m_ctx512_simulation_full.json
cpu,opt-125m,768,1,0.6319444831847685,0.3680555168152315,1.2354735445127853,1.2354735445127853,1.2354735445127853,1.3547292528225479,1.3547292528225479,0.727887356195678,0.727887356195678,0.727887356195678,1.0,artifacts/reports/opt125m_ctx768_simulation_full.json
cpu,opt-125m,512,4,0.5397875962949391,0.46021240370506095,1.1698677768010664,1.1698677768010664,1.1698677768010664,1.3060748410637222,1.3060748410637222,0.6196046310814258,0.6196046310814258,0.6196046310814258,1.0,artifacts/reports/opt125m_ctx512_bs4_simulation_full.json
gpu,gpt2,256,1,0.4639284946280807,0.5360715053719193,1.0,1.0,1.0,1.0,1.269349608209804,0.0,0.0,0.0,0.0,artifacts/reports/gpt2_gpu_ctx256_bs1_simulation_full.json
