region,count,latency_ms,latency_share,bytes_moved,flops,arithmetic_intensity
attention,16,8331.868864013813,0.5367797826114422,52248576.0,52150272.0,0.9981185324553151
mlp,16,7190.080981934443,0.46322021738855784,881188864.0,880803840.0,0.9995630630211868
