region,count,latency_ms,latency_share,bytes_moved,flops,arithmetic_intensity
attention,16,15257.977191358805,0.5524396096287202,139329536.0,139067392.0,0.9981185324553151
mlp,16,12361.29001074005,0.44756039037127987,3221880832.0,3221225472.0,0.9997965908628615
