region,count,latency_ms,latency_share,bytes_moved,flops,arithmetic_intensity
attention,16,3094.659872178454,0.4742679685770365,207749120.0,207486976.0,0.9987381703470032
mlp,16,3430.469542450737,0.5257320314229634,3221880832.0,3221225472.0,0.9997965908628615
