region,count,latency_ms,latency_share,bytes_moved,flops,arithmetic_intensity
attention,16,8629.066725610755,0.5416932049621602,26591232.0,26492928.0,0.9963031423290203
mlp,16,7300.7375373272225,0.4583067950378398,881188864.0,880803840.0,0.9995630630211868
